행정구역,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,공원_개수,총_인구수,입시학원_개수,어린이집_개수,초미세먼지_최대치,일산화탄소_최대치,마트거리(km),병원거리(km)
개포동,디에이치아너힐즈,76.1709,202109,28,300000,26,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,94.2875,202110,2,340000,19,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,59.7479,202110,8,230500,5,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,76.1709,202110,13,299500,3,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,디에이치아너힐즈,84.3558,202110,25,265000,29,2019,16,57218,95,9,34.645161,0.912903226,2.414177401,3.273335886
개포동,래미안블레스티지,59.888,202101,7,200000,2,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.943,202101,14,267000,6,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202101,18,277000,23,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,49.909,202102,6,173000,10,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.943,202102,15,251000,1,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202102,16,210000,9,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202102,22,195000,5,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202103,9,277000,23,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202103,10,199000,10,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202104,1,214500,5,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.837,202104,13,204500,14,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202104,14,268000,25,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.95,202105,8,275000,7,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.897,202105,8,207500,8,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202105,18,280000,15,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,99.979,202105,30,360000,18,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202106,9,285000,23,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,126.928,202107,23,436000,18,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.943,202107,24,282000,11,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202108,7,289000,19,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202108,14,227000,10,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202108,16,224500,4,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.897,202108,19,219000,4,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.897,202108,19,219000,4,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.897,202108,21,225000,13,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,59.967,202108,31,230000,12,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202108,31,298000,35,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,49.909,202109,5,179000,6,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.943,202109,5,293000,11,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.943,202109,17,295000,12,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,래미안블레스티지,84.94,202110,9,320000,28,2019,16,57218,95,9,34.645161,0.912903226,2.457160172,3.452012288
개포동,삼익대청아파트,60,202101,4,157000,13,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202101,9,124500,1,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202101,11,125000,4,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202101,14,150000,13,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202101,15,160000,13,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202101,19,128000,5,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202102,3,145000,2,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202102,21,164000,6,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202102,22,161500,4,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202102,28,166000,6,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202103,2,151500,11,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202103,15,126500,6,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202104,15,168000,14,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202105,1,129000,13,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202105,29,170700,9,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202106,4,151500,12,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202106,8,149000,2,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202107,5,155000,4,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,51.12,202107,7,151000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202107,10,175000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,60,202107,22,175000,2,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202108,7,142000,8,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202110,4,144000,7,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,삼익대청아파트,39.53,202110,4,149500,2,1992,16,57218,95,9,34.645161,0.912903226,2.433565613,2.149325282
개포동,상지리츠빌,161.07,202107,10,350000,8,2003,16,57218,95,9,34.645161,0.912903226,1.697807891,2.825188693
개포동,새롬(1164-13),59.67,202104,12,74800,6,2000,16,57218,95,9,34.645161,0.912903226,2.924238704,4.48824085
개포동,새롬(1164-14),57.93,202103,25,53450,2,2000,16,57218,95,9,34.645161,0.912903226,2.924238704,4.474908703
개포동,새롬(1164-14),57.93,202109,17,64000,5,2000,16,57218,95,9,34.645161,0.912903226,2.924238704,4.474908703
개포동,새롬(1164-14),57.93,202109,17,59000,6,2000,16,57218,95,9,34.645161,0.912903226,2.924238704,4.474908703
개포동,성원대치2단지아파트,49.86,202101,4,150000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,39.53,202101,10,127000,10,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202101,13,139000,3,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202101,14,153000,8,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,49.86,202101,15,145000,4,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202101,20,108000,11,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
개포동,성원대치2단지아파트,33.18,202101,21,111000,12,1992,16,57218,95,9,34.645161,0.912903226,2.433311288,2.101732325
